OrderID,CustomerID,CustomerName,Age,City,OrderDate,Category,ProductName,Quantity,UnitPrice,PaymentMethod,DeliveryStatus,TotalAmount,Discount,NetAmount
9a60c81f-8693-4b11-950a-8e9e1b76d2fd,b7ee5317-7c13-449f-bed0-45395624dfc0,Yashodhara Desai,25,Hyderabad,2024-10-10,Beauty,Necessitatibus Home,2,8477.48,Cash on Delivery,Cancelled,16954.96,1257.39,15697.57
ce66d04f-9636-4a1c-96a1-145cf0be91b2,6c1b3db2-1c10-4574-ac84-fd59ab4415be,Vamakshi Kala,57,Delhi,2024-07-07,Books,Dolores Clothing,2,1701.45,Cash on Delivery,Cancelled,3402.9,819.63,2583.27
ecec85c9-a0a8-4a86-8bdd-d0be665c9d31,fdf6db8a-2ab7-4f81-84bb-fd4a39c4fe3b,Rudra Sarkar,31,Delhi,2024-11-03,Home Appliances,Magni Clothing,4,4471.6,Debit Card,In Transit,17886.4,3934.08,13952.320000000002
395afd95-521c-42ed-a309-9d00363f88af,76e5238e-990b-4fb2-8cef-c34a3061cf79,Unni Deol,44,Chennai,2024-10-21,Beauty,Commodi Electronics,1,1713.0,Cash on Delivery,Delivered,1713.0,287.71,1425.29
c5d5059b-e7d2-4f99-be0a-fe1a1b8e4fca,1a20c1fa-a243-4b62-8d69-3dfafc4f8901,Deepa Chand,23,Delhi,2024-08-25,Home Appliances,Repellat Electronics,2,6607.39,Debit Card,Returned,13214.78,798.86,12415.92
28f6a7e6-6a01-4b67-9cab-236a8165e042,efcf5e1e-9278-4e67-95eb-3790b032c5ea,Ekansh Savant,53,Chennai,2025-05-31,Beauty,Aliquam Electronics,3,6620.02,Cash on Delivery,Returned,19860.06,3410.8,16449.260000000002
18fbfbab-4e1e-4862-813d-d12b49672e02,4f587f6c-a848-49d8-af5f-6f44c99ea302,Sanya Prasad,18,Bangalore,2024-11-30,Beauty,Sequi Beauty,3,3052.92,Net Banking,Cancelled,9158.76,1810.25,7348.51
c5c61fc8-7648-4518-8766-743f8d80e2cd,ccacc815-1a0a-4c41-a06f-51d1ab68738e,Nidhi Dhar,44,Chennai,2024-11-16,Electronics,Maxime Beauty,5,5011.87,Debit Card,Returned,25059.35,2565.37,22493.98
9d338548-88c9-4518-9369-06a506c05474,fb266cd0-3cd7-43a8-9de9-bd6fdeb42fe6,Nicholas Krishnan,47,Hyderabad,2025-03-31,Home Appliances,Atque Books,1,3236.83,Debit Card,Delivered,3236.83,566.34,2670.49
82510d20-7d53-4f23-9f16-ed0dda254d7b,8d9c2b5e-3dbb-43a6-8a75-bdd082d083d1,Ryan Batta,21,Mumbai,2024-08-10,Beauty,Officia Beauty,5,293.86,Debit Card,Delivered,1469.3,147.47,1321.83
8286fd57-9e89-44ee-b3ed-784a802f8862,8b6dc41a-a830-4020-8c76-50b7c90c68e9,Ikbal Sahni,19,Hyderabad,2025-06-10,Beauty,Aliquid Home,3,8099.01,UPI,Cancelled,24297.03,5444.0,18853.03
2a1ad86d-e1f8-4915-8ee6-c284622491e2,96af2053-e90c-4941-a6a2-aaafbefe04b2,Ekbal Bandi,23,Hyderabad,2024-10-16,Electronics,Vitae Home,5,1814.87,Debit Card,Delivered,9074.35,709.23,8365.12
7520ecfa-8ac4-4b4c-beb5-897310f7db0d,d6c048b1-7a7e-4ca8-89db-78891faefc9f,Damyanti Roy,43,Hyderabad,2025-05-20,Clothing,Velit Books,4,7746.78,Credit Card,In Transit,30987.12,1994.37,28992.75
ba0c4a32-2679-4abd-99f0-4909103bc200,dc3313fe-8259-40b0-97cd-f7646244e95b,Frado Palan,46,Delhi,2024-12-07,Beauty,Quidem Clothing,5,7728.04,Debit Card,Delivered,38640.2,8235.21,30404.989999999998
f297bfc3-975f-4c9e-b967-4d323f27f259,3ea05c19-115b-4f5b-b5c4-149790188c97,Rishi Date,26,Delhi,2024-06-28,Home Appliances,A Clothing,1,3649.3,Debit Card,In Transit,3649.3,307.45,3341.8500000000004
81aa1f39-3e4a-45e5-9a1c-b76a8884be2e,f7fa363a-0103-4e2f-b03f-b61415bd7983,Osha Batta,27,Bangalore,2024-09-05,Books,Incidunt Home,5,9336.65,Cash on Delivery,Delivered,46683.25,9325.26,37357.99
7bf495e1-2c38-4b0f-96b2-4f75605fe40c,e46f6b36-5f9d-434f-8e11-6646054f4a58,Wishi Yadav,34,Hyderabad,2024-11-21,Beauty,Hic Books,4,2684.49,Credit Card,Returned,10737.96,2342.59,8395.369999999999
d1d1c404-0748-432b-81af-e40a10ead6f3,259a7627-cf7f-4287-b8fa-720826123c8f,Anusha Shroff,18,Chennai,2024-07-15,Beauty,Fugiat Home,5,6211.36,UPI,Cancelled,31056.8,1994.74,29062.059999999998
4e75c6c9-f6a3-48c7-a4ec-47f43e155063,a7263d20-a1e5-438c-a1a3-3786c8fdac8a,Raksha Parikh,40,Chennai,2024-08-29,Clothing,Esse Beauty,1,5012.08,Credit Card,Delivered,5012.08,483.35,4528.73
00183de8-532f-4a61-b697-551b489359b2,6522ecdd-798d-49d1-99bd-aa280db5ee40,Triya Hayre,51,Delhi,2025-05-28,Electronics,Fugit Books,1,4882.17,Debit Card,In Transit,4882.17,378.54,4503.63
34ef1cfd-360e-4591-8a65-790b3faa4706,a4d94218-7024-4265-b25e-67bde0312bec,Ethan Sarraf,47,Mumbai,2024-10-10,Clothing,Eaque Electronics,3,4699.55,UPI,Delivered,14098.65,1188.11,12910.539999999999
84a44391-dcac-4911-bf66-6c00b97441bb,4099f736-ffed-4b1c-aed3-aa9daf270540,Qadim Oak,39,Bangalore,2025-03-12,Clothing,Vel Home,5,494.31,Net Banking,Cancelled,2471.55,245.28,2226.27
2b53ff42-b053-4ef0-bf95-7d922c3fa6dc,426cb3f1-3bf8-4a95-9504-36d6ad4cbd49,Tarak Menon,40,Bangalore,2024-07-05,Home Appliances,Quis Home,5,7945.92,UPI,Cancelled,39729.6,8087.32,31642.28
3390c65a-22f0-4f29-b63c-5de898fbc06a,37b44191-bc2b-4f26-ac7e-ede36a634a17,Manthan Jaggi,56,Chennai,2024-08-20,Beauty,Magni Electronics,3,7292.74,Net Banking,Cancelled,21878.22,5340.07,16538.15
e5798053-1ddc-4e4d-87b2-a51686f2bd71,4724ed39-5f9a-43d7-957b-91594d1ac115,Samesh Khare,20,Delhi,2024-07-24,Beauty,Sint Clothing,2,9525.63,Debit Card,Returned,19051.26,1969.84,17081.42
1a6e2df3-5c44-4057-9536-afae2efb7706,1a5a41c6-6336-4f08-8902-0989fe6d3808,Urvi Loyal,31,Mumbai,2025-02-10,Books,Accusamus Beauty,5,8137.08,Debit Card,In Transit,40685.4,2711.14,37974.26
ef84e177-aa1e-4330-a8c2-0b8d5515b89d,11b58007-a0fa-4204-a8cf-94b033a230de,Unnati Solanki,56,Bangalore,2024-11-19,Beauty,Cum Books,4,9652.03,Debit Card,Cancelled,38608.12,4846.33,33761.79
